Name,Rarity,PrimaryRoleGroup,PrimaryAttackCategory,RangeClass,Health,Damage,TotalDamage,MovementSpeed,RangeCategory,Class,EffectiveRangeTiles,RangeScore,AmmoCount,ReloadSpeedClass,ReloadSpeedScore,AttackCooldownClass,AttackCooldownScore,ProjectileSpeedClass,ProjectileSpeedScore,ProjectileWidthClass,ProjectileWidthScore,BurstDamageClass,BurstDamageScore,SustainedDPSClass,SustainedDPSScore,SuperChargeRateClass,SuperChargeRateScore,MobilityScore,EngageScore,EscapeScore,AimPrecision,PositioningImportance,DecisionComplexity,MechanicalDifficulty,SkillFloor,SkillCeiling,AreaControlScore,LaneControlScore,ObjectivePressureScore,TeamUtilityScore,SurvivabilityScore,PokePressureScore,CloseRangeThreatScore,HasThrowAttack,HasShotgunSpread,HasMeleePrimary,HasContinuousAttack,HasBounceAttack,HasDeployableCore,HasPrecisionProjectile,HasMultiProjectilePattern,HasAreaPrimary,HasDash,HasJumpOrTeleport,HasHealing,HealingType,HasStun,HasSlow,HasKnockback,HasPull,HasSilence,HasShield,HasInvisibility,HasPetOrSummon,HasPiercing,HasSplashDamage,HasWallBreak,CanZone,CanScoutBushes,SuperType,HealingGroup,SuperTypeGroup,PrimaryWinConditionGroup,ManualReviewFlag,ReleasedForCurrentDataset,SourceURL
Janet,Mythic,Marksman,StandardProjectile,Long,6800.0,2000,2000.0,Normal,Normal,Marksman,8.3,4,3,Slow,2,Slow,2,Fast,4,Normal,3,High,4,Medium,3,Normal,3,4,3,5,4,5,4,4,3,5,3,4,4,3,3,4,2,0,0,0,0,0,0,0,0,0,0,1,0,,0,1,1,0,0,0,0,0,1,1,0,1,1,Mobility,,Mobility,LongRangePick,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Jessie,Super Rare,Controller,Deployable,Normal,6600.0,2120,2120.0,Normal,Long,Controller,7.0,3,3,Normal,3,Normal,3,Normal,3,Normal,3,Medium,3,Medium,3,Normal,3,2,2,2,3,3,4,3,3,4,4,3,5,3,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,,0,1,0,0,0,0,0,1,1,0,0,1,1,Summon,,Summon,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Juju,Mythic,Controller,Thrower,Long,6200.0,2000,2000.0,Very Fast,Normal,Artillery,7.3,4,3,Normal,3,Slow,2,Slow,2,Wide,4,Medium,3,Medium,3,Normal,3,3,2,3,4,5,5,4,3,5,5,4,4,4,3,4,2,1,0,0,0,0,1,0,0,1,0,0,0,,0,1,1,0,0,0,0,1,1,0,0,1,1,AreaControl,,AreaControl,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Kaze,Ultra Legendary,Assassin,Melee,Short,8200.0,1500,1500.0,Very Fast,Short,Assassin,3.0,1,3,Fast,4,Fast,4,VeryFast,5,Normal,3,VeryHigh,5,High,4,Fast,4,5,5,5,4,5,5,5,4,5,2,2,4,2,3,1,5,0,0,1,0,0,0,0,0,0,1,1,0,,0,1,1,0,0,0,1,0,1,0,0,1,1,Mobility,,Mobility,CloseRange,1,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Kenji,Legendary,Assassin,Melee,Short,8000.0,1500,1500.0,Very Fast,Short,Assassin,2.7,1,3,Fast,4,Fast,4,VeryFast,5,Normal,3,VeryHigh,5,High,4,Fast,4,5,5,5,3,5,5,5,4,5,2,2,4,2,4,1,5,0,0,1,0,0,0,0,0,0,1,0,1,Self,0,1,1,0,0,0,0,0,1,0,0,1,1,Mobility,Self,Mobility,CloseRange,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Kit,Legendary,Assassin,Melee,Short,6200.0,2000,2000.0,Very Fast,Short,Support,2.0,1,3,Fast,4,Fast,4,VeryFast,5,Normal,3,VeryHigh,5,Medium,3,Fast,4,5,5,4,2,5,5,4,3,5,2,2,4,5,3,1,5,0,0,1,0,0,0,0,0,0,0,1,1,Ally/Self,1,1,1,0,0,0,1,0,1,0,0,1,1,Healing,Ally/Self,Healing,CloseRange,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Larry & Lawrie,Epic,Controller,Thrower,Long,,,,,,,7.3,4,3,Normal,3,Slow,2,Slow,2,Wide,4,High,4,Medium,3,Normal,3,2,2,2,3,5,5,4,3,5,5,4,5,3,3,4,2,1,0,0,0,0,1,0,0,1,0,0,0,,0,1,1,0,0,0,0,1,1,1,0,1,1,Summon,,Summon,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Leon,Legendary,Assassin,MultiProjectile,Normal,7200.0,4 x 960,3840.0,Very Fast,Very Long,Assassin,8.0,3,3,Normal,3,Normal,3,Fast,4,Normal,3,VeryHigh,5,Medium,3,Normal,3,4,5,4,3,4,4,3,2,4,2,3,4,2,3,3,5,0,0,0,0,0,0,0,1,0,0,0,1,Self,0,1,1,0,0,0,1,0,0,0,0,1,1,Invisibility,Self,Utility,CloseRange,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Lily,Mythic,Assassin,Melee,Short,8400.0,2120,2120.0,Very Fast,Short,Assassin,2.0,1,2,Normal,3,Fast,4,VeryFast,5,Thin,2,VeryHigh,5,Medium,3,Fast,4,5,5,4,3,4,4,4,3,5,2,2,3,1,3,1,5,0,0,1,0,0,0,0,0,0,0,1,0,,0,1,1,0,1,0,0,0,0,0,0,1,1,Mobility,,Mobility,CloseRange,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Lola,Epic,DamageDealer,Deployable,Long,8000.0,6 x 560,3360.0,Normal,Long,Damage Dealer,8.7,4,3,Normal,3,Normal,3,Normal,3,Normal,3,High,4,High,4,Normal,3,2,2,2,4,4,5,4,3,5,3,4,4,3,3,4,2,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,1,1,Summon,,Summon,HybridDamage,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Lou,Mythic,Controller,AreaControl,Long,7000.0,3 x 880,2640.0,Normal,Very Long,Controller,8.7,4,3,Normal,3,Normal,3,Normal,3,Wide,4,Medium,3,Medium,3,Normal,3,2,2,2,4,4,4,3,3,4,5,4,5,3,3,4,2,0,0,0,0,0,0,0,0,1,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,1,1,Stun,,Stun,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Lumi,Mythic,Controller,StandardProjectile,Long,6200.0,1800,1800.0,Normal,Long,Damage Dealer,8.7,4,3,Normal,3,Normal,3,Fast,4,Thin,2,High,4,High,4,Normal,3,3,2,3,4,4,4,4,3,5,3,4,4,3,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,1,1,0,0,1,1,Damage,,Damage,ZoneControl,1,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Maisie,Epic,DamageDealer,AreaControl,Long,8000.0,3000,3000.0,Normal,Long,Marksman,8.7,4,3,Normal,3,Normal,3,Normal,3,Wide,4,VeryHigh,5,Medium,3,Fast,4,3,3,3,5,4,4,4,3,5,3,4,4,2,3,4,3,0,0,0,0,0,0,0,0,1,1,0,0,,1,1,1,0,0,0,0,0,1,1,1,1,1,Control,,AreaControl,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Mandy,Epic,Marksman,Precision,Very Long,6000.0,2600,2600.0,Normal,Long,Marksman,10.0,5,3,Slow,2,Slow,2,VeryFast,5,Narrow,1,VeryHigh,5,Low,2,Normal,3,1,1,1,5,5,4,4,3,5,2,5,3,2,1,5,1,0,0,0,0,0,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,0,1,0,1,1,1,Damage,,Damage,LongRangePick,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Max,Mythic,Support,StandardProjectile,Normal,7000.0,4 x 640,2560.0,Very Fast,Long,Support,8.0,3,4,Fast,4,Fast,4,Fast,4,Thin,2,Medium,3,High,4,Normal,3,5,4,5,4,5,5,4,3,5,2,4,4,5,3,3,3,0,0,0,0,0,0,0,0,0,1,0,0,,0,1,0,0,0,0,0,0,0,0,0,1,1,Mobility,,Mobility,TeamUtility,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Meeple,Epic,Controller,StandardProjectile,Normal,6600.0,2520,2520.0,Normal,Long,Controller,7.0,3,3,Normal,3,Normal,3,Fast,4,Thin,2,Medium,3,Medium,3,Normal,3,2,2,2,3,4,5,3,2,4,4,3,4,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,1,1,0,1,1,Utility,,Utility,ZoneControl,1,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Meg,Legendary,Tank,StandardProjectile,Long,7400.0,2 x 600,1200.0,Fast,Long,Tank,9.0,4,3,Normal,3,Normal,3,Fast,4,Thin,2,High,4,High,4,Fast,4,2,3,2,3,4,5,3,2,4,3,4,5,3,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,1,0,0,1,1,Damage,,Damage,CloseRange,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Melodie,Mythic,Assassin,StandardProjectile,Normal,7600.0,3 x 1840,5520.0,Normal,Long,Assassin,8.0,3,3,Normal,3,Normal,3,Fast,4,Thin,2,VeryHigh,5,High,4,Fast,4,5,5,5,4,5,5,5,4,5,2,3,5,2,3,3,5,0,0,0,0,0,0,0,0,0,1,0,0,,0,1,1,0,0,0,0,0,0,0,0,1,1,Mobility,,Mobility,CloseRange,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Mico,Mythic,Assassin,Melee,Short,7000.0,2280,2280.0,Very Fast,Normal,Assassin,3.0,1,3,Fast,4,Fast,4,VeryFast,5,Normal,3,High,4,Medium,3,Fast,4,5,5,5,3,5,5,5,4,5,2,2,4,1,3,1,5,0,0,1,0,0,0,0,0,0,0,1,0,,1,1,1,0,0,0,0,0,1,0,0,1,1,Mobility,,Mobility,CloseRange,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Mina,Mythic,Controller,AreaControl,Normal,7200.0,1600,1600.0,Fast,Long,Damage Dealer,7.0,3,3,Normal,3,Normal,3,Normal,3,Wide,4,High,4,Medium,3,Normal,3,3,3,3,3,4,5,4,3,5,4,3,4,4,3,3,3,0,0,0,0,0,0,0,0,1,0,0,0,,1,1,1,0,0,0,0,0,1,0,0,1,1,Control,,AreaControl,ZoneControl,1,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Moe,Mythic,Controller,StandardProjectile,Normal,7200.0,1000,1000.0,Fast,Long,Damage Dealer,7.0,3,3,Normal,3,Normal,3,Fast,4,Thin,2,High,4,Medium,3,Fast,4,4,4,4,3,4,5,4,3,5,3,3,4,2,4,3,4,0,0,0,0,0,0,0,0,0,1,0,0,,0,1,1,0,0,0,0,0,1,0,1,1,1,Mobility,,Mobility,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Mortis,Mythic,Assassin,Melee,Short,8000.0,2000,2000.0,Very Fast,Short,Assassin,2.7,5,3,VerySlow,1,Slow,2,VeryFast,5,Thin,2,Medium,3,VeryLow,1,Normal,3,5,5,2,5,5,5,4,5,4,1,3,1,3,1,5,1,0,0,1,0,0,0,0,0,0,0,1,Self,0,1,1,0,0,0,0,0,0,0,0,0,1,1,Mobility,Other,Mobility,CloseRange,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Mr. P,Mythic,Controller,Deployable,Long,7400.0,1520,1520.0,Normal,Long,Controller,8.7,4,3,Normal,3,Normal,3,Normal,3,Normal,3,Medium,3,Medium,3,Normal,3,2,1,2,3,4,4,3,2,4,4,4,4,3,3,4,1,0,0,0,0,0,1,0,0,0,0,0,0,,0,1,1,0,0,0,0,1,1,0,0,1,1,Summon,,Summon,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Najia,Mythic,Assassin,MultiProjectile,Short,6800.0,800,800.0,Fast,Very Long,Damage Dealer,3.0,1,3,Fast,4,Fast,4,Fast,4,Thin,2,VeryHigh,5,Medium,3,Fast,4,5,5,4,3,4,4,4,3,5,2,2,4,1,3,1,5,0,0,0,0,0,0,0,1,0,1,0,0,,0,1,1,0,0,0,0,0,0,0,0,1,1,Mobility,,Mobility,CloseRange,1,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Nani,Epic,Marksman,Precision,Very Long,5000.0,3 x 1480,4440.0,Normal,Long,Marksman,10.0,5,3,Slow,2,Slow,2,Fast,4,Narrow,1,VeryHigh,5,Low,2,Normal,3,2,1,2,5,5,5,5,4,5,2,5,3,2,2,5,1,0,0,0,0,0,0,1,0,0,0,1,0,,1,0,1,0,0,0,0,0,1,1,1,1,1,Damage,,Damage,LongRangePick,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Nita,Rare,Controller,Deployable,Normal,8400.0,1920,1920.0,Normal,Normal,Damage Dealer,7.0,3,3,Normal,3,Normal,3,Normal,3,Normal,3,Medium,3,Medium,3,Normal,3,2,2,2,3,3,3,3,3,3,3,3,4,3,4,3,3,0,0,0,0,0,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,1,0,1,0,1,1,Summon,,Summon,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Ollie,Mythic,Controller,AreaControl,Normal,10800.0,2000,2000.0,Fast,Normal,Tank,7.0,3,3,Normal,3,Normal,3,Normal,3,Wide,4,Medium,3,Medium,3,Fast,4,3,3,3,3,4,5,4,3,5,4,3,4,4,3,3,3,0,0,0,0,0,0,0,0,1,1,0,0,,1,1,1,0,0,0,0,0,1,0,0,1,1,Control,,AreaControl,ZoneControl,1,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Otis,Mythic,Controller,MultiProjectile,Normal,7200.0,3 x 920,2760.0,Normal,Long,Controller,9.0,3,3,Normal,3,Normal,3,Fast,4,Thin,2,High,4,High,4,Normal,3,2,2,2,3,4,4,3,2,4,3,3,4,3,3,3,3,0,0,0,0,0,0,0,1,0,0,0,0,,0,1,0,0,1,0,0,0,1,0,0,1,1,Silence,,Utility,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Pam,Epic,Tank,AreaControl,Normal,10000.0,9 x 520,4680.0,Normal,Long,Support,8.7,3,3,Slow,2,Slow,2,Normal,3,Wide,4,Medium,3,High,4,Normal,3,2,2,2,2,3,3,2,2,3,3,3,4,5,5,2,3,0,0,0,0,0,0,0,0,1,0,0,1,Ally/Area,0,0,1,0,0,0,0,1,0,0,0,1,1,Healing,Ally/Area,Healing,CloseRange,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Pearl,Epic,DamageDealer,Shotgun,Long,8600.0,6 x 560,3360.0,Normal,Long,Damage Dealer,5.0,4,3,Normal,3,Normal,3,Normal,3,Wide,4,High,4,High,4,Normal,3,2,2,2,3,4,4,3,2,4,3,4,4,2,4,4,3,0,1,0,0,0,0,0,1,0,0,0,0,,0,1,1,0,0,0,0,0,1,1,1,1,1,Damage,,Damage,CloseRange,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Penny,Super Rare,Controller,Deployable,Long,7000.0,1960,1960.0,Normal,Long,Artillery,8.7,4,3,Normal,3,Normal,3,Normal,3,Normal,3,Medium,3,Medium,3,Normal,3,2,2,2,3,4,4,3,3,3,4,4,5,3,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,1,0,1,1,Summon,,Summon,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Pierce,Legendary,DamageDealer,StandardProjectile,Long,6000.0,1900,1900.0,Normal,Very Long,Marksman,8.7,4,3,Normal,3,Normal,3,Fast,4,Thin,2,VeryHigh,5,High,4,Normal,3,3,3,3,4,4,4,4,3,5,3,4,4,2,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,1,1,0,0,1,1,Damage,,Damage,HybridDamage,1,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Piper,Epic,Marksman,Precision,Very Long,5000.0,3400,3400.0,Normal,Very Long,Marksman,10.0,5,3,Slow,2,Slow,2,VeryFast,5,Narrow,1,VeryHigh,5,Low,2,Normal,3,2,1,3,5,5,4,4,3,5,2,5,3,2,2,5,1,0,0,0,0,0,0,1,0,0,0,1,0,,0,1,1,0,0,0,0,0,0,0,1,0,1,Damage,,Damage,LongRangePick,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Poco,Rare,Support,AreaControl,Normal,8000.0,1520,1520.0,Normal,Long,Support,7.0,3,3,Normal,3,Normal,3,Fast,4,VeryWide,5,Medium,3,Low,2,Normal,3,2,2,2,1,3,3,3,1,3,3,3,4,5,4,3,3,0,0,0,0,0,0,0,0,1,0,0,1,Ally/Team,0,0,0,0,0,0,0,0,1,0,0,0,1,Healing,Other,Healing,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
R-T,Mythic,Controller,StandardProjectile,Long,8200.0,1400,1400.0,Very Fast,Very Long,Damage Dealer,10.0,4,3,Slow,2,Slow,2,VeryFast,5,Narrow,1,High,4,Medium,3,Normal,3,2,2,2,4,5,5,4,3,5,3,4,4,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,1,0,0,1,1,Damage,,Damage,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Rico,Super Rare,DamageDealer,Bounce,Long,6000.0,5 x 640,3200.0,Normal,Very Long,Damage Dealer,9.7,4,3,Normal,3,Normal,3,Fast,4,Thin,2,Medium,3,VeryHigh,5,Normal,3,2,2,2,5,4,3,5,3,5,2,5,3,2,2,4,3,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,1,Damage,,Damage,HybridDamage,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Rosa,Rare,Tank,Melee,Short,10800.0,3 x 920,2760.0,Fast,Short,Tank,3.7,1,3,Fast,4,Fast,4,VeryFast,5,Wide,4,Medium,3,Medium,3,Normal,3,2,2,2,3,3,3,3,2,3,3,3,4,2,5,3,5,0,0,1,0,0,0,0,0,0,0,0,1,Self,0,1,0,0,0,1,0,0,1,0,0,0,1,Shield,Self,Shield,CloseRange,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Ruffs,Mythic,Controller,Bounce,Long,6000.0,2 x 1200,2400.0,Normal,Long,Support,8.7,4,3,Normal,3,Normal,3,Fast,4,Thin,2,Medium,3,Medium,3,Normal,3,2,2,2,4,5,5,4,3,5,4,4,4,5,3,4,2,0,0,0,0,1,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,1,1,1,1,1,Buff,,Utility,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Sam,Epic,Tank,Melee,Short,11400.0,2 x 1600,3200.0,Fast,â€”,Assassin,3.0,1,3,Fast,4,Fast,4,VeryFast,5,Normal,3,VeryHigh,5,High,4,Fast,4,4,5,4,2,5,5,4,3,5,2,2,4,2,5,1,5,0,0,1,0,0,0,0,0,0,1,0,1,Self,0,1,1,1,0,0,0,1,1,0,0,1,1,Mobility,Self,Mobility,CloseRange,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Sandy,Legendary,Controller,AreaControl,Normal,8200.0,1800,1800.0,Fast,Normal,Controller,7.0,3,3,Normal,3,Normal,3,Normal,3,Wide,4,Medium,3,Medium,3,Normal,3,3,3,3,2,5,5,3,2,5,5,4,5,5,4,3,3,0,0,0,0,0,0,0,0,1,0,0,1,Ally/Area,1,1,0,0,0,0,1,1,1,0,0,1,1,Control,Ally/Area,AreaControl,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Shade,Epic,Assassin,AreaControl,Short,7400.0,1600,1600.0,Very Fast,Very Short,Assassin,3.0,1,3,Fast,4,Fast,4,Normal,3,Wide,4,VeryHigh,5,Medium,3,Fast,4,5,5,4,3,4,4,4,3,5,2,2,4,2,3,1,5,0,0,0,0,0,0,0,0,1,1,1,0,,0,1,1,0,0,0,1,0,1,0,0,1,1,Mobility,,Mobility,CloseRange,1,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Shelly,Starting,Tank,Shotgun,Normal,7800.0,5 x 600,3000.0,Fast,Long,Damage Dealer,5.7,2,3,Normal,3,Normal,3,Normal,3,Wide,4,High,4,Medium,3,Fast,4,2,2,2,3,3,3,3,1,3,2,3,3,2,3,3,5,0,1,0,0,0,0,0,1,0,0,0,0,,0,1,1,0,0,0,0,0,0,1,1,0,1,Control,,AreaControl,CloseRange,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Sirius,Ultra Legendary,Controller,StandardProjectile,Long,7400.0,2 x 1200,2400.0,Fast,Long,Controller,8.7,4,3,Normal,3,Normal,3,Fast,4,Thin,2,VeryHigh,5,High,4,Normal,3,4,3,4,4,5,5,5,4,5,4,4,5,4,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,1,1,1,1,1,1,Utility,,Utility,ZoneControl,1,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Spike,Legendary,Controller,AreaControl,Long,6000.0,1080,1080.0,Normal,Long,Damage Dealer,8.7,4,3,Normal,3,Normal,3,Normal,3,Wide,4,VeryHigh,5,Medium,3,Normal,3,2,2,2,4,4,4,3,2,4,5,4,4,3,2,4,2,0,0,0,0,0,0,0,0,1,0,0,0,,0,1,1,0,0,0,0,1,1,0,0,1,1,AreaControl,,AreaControl,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Sprout,Mythic,Controller,Thrower,Long,6400.0,2080,2080.0,Normal,Normal,Artillery,7.3,4,3,Normal,3,Slow,2,Slow,2,Wide,4,Medium,3,Medium,3,Normal,3,2,1,2,4,5,5,4,3,5,5,5,4,4,2,4,1,1,0,0,0,0,0,0,0,1,0,0,1,Self,0,1,1,0,0,1,0,0,1,0,1,1,1,Control,Self,AreaControl,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Squeak,Mythic,Controller,AreaControl,Long,7600.0,2160,2160.0,Normal,Long,Controller,8.3,4,3,Slow,2,Slow,2,Slow,2,Normal,3,Medium,3,Medium,3,Normal,3,2,1,2,3,4,4,3,2,4,5,4,4,3,2,4,1,0,0,0,0,0,0,0,0,1,0,0,0,,0,1,1,0,0,0,0,0,1,1,0,1,1,AreaControl,,AreaControl,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Starr Nova,Mythic,Controller,AreaControl,Long,7400.0,1080,1080.0,Very Fast,Normal,Assassin,8.7,4,3,Normal,3,Normal,3,Normal,3,Wide,4,High,4,Medium,3,Normal,3,3,2,3,4,5,5,4,3,5,5,4,4,4,3,4,2,0,0,0,0,0,0,0,0,1,0,0,0,,1,1,1,0,0,0,0,0,1,1,1,1,1,AreaControl,,AreaControl,ZoneControl,1,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Stu,Epic,Assassin,StandardProjectile,Normal,7000.0,2 x 1080,2160.0,Normal,Long,Assassin,7.0,3,3,Fast,4,Fast,4,Fast,4,Thin,2,Medium,3,High,4,Fast,4,5,4,5,4,5,5,5,4,5,2,4,4,2,3,3,4,0,0,0,0,0,0,0,0,0,1,0,1,Self,0,0,1,0,0,0,0,0,0,0,0,1,1,Mobility,Self,Mobility,CloseRange,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Surge,Legendary,Assassin,StandardProjectile,Normal,6600.0,2360,2360.0,Slow,Normal,Damage Dealer,7.0,3,3,Fast,4,Fast,4,Fast,4,Thin,2,VeryHigh,5,High,4,Fast,4,4,4,3,3,5,5,4,3,5,3,3,5,2,3,3,4,0,0,0,0,0,0,0,0,0,0,1,0,,1,1,1,0,0,1,0,1,1,0,1,1,1,Mobility,,Mobility,CloseRange,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Tara,Mythic,Controller,Deployable,Normal,6600.0,3 x 960,2880.0,Normal,Long,Damage Dealer,7.0,3,3,Normal,3,Normal,3,Normal,3,Normal,3,Medium,3,High,4,Normal,3,2,2,2,3,4,4,3,4,4,3,5,3,3,3,3,0,0,0,0,0,0,1,0,0,0,0,1,Self,1,1,1,1,0,0,1,1,1,0,0,1,1,1,Control,Other,AreaControl,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Tick,Super Rare,Hybrid,Thrower,Long,4800.0,3 x 1360,4080.0,Normal,Long,Artillery,7.3,5,3,Normal,3,Slow,2,Slow,2,Wide,4,Medium,3,Medium,3,Normal,3,2,2,2,3,5,4,3,3,4,5,5,4,2,1,3,3,1,0,0,0,0,0,0,0,1,0,0,0,,0,0,1,0,0,0,0,1,0,1,0,1,1,AreaControl,,AreaControl,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
